pair_id,reference_path,search_path,metadata_path,gt_x,gt_y,gt_x1,gt_y1,gt_x2,gt_y2,box_width,box_height,architecture,seed,ref_width,ref_height,search_width,search_height,detector_noise_ref,detector_noise_search
001,FINALDATASET/data/references/reference_001.png,FINALDATASET/data/search_images/search_001.png,FINALDATASET/data/metadata/metadata_001.json,142.9,684.8,92.9,634.8,192.9,734.8,100,100,finfet_7nm,425773412,1000,1000,1000,1000,2.0,5.0
002,FINALDATASET/data/references/reference_002.png,FINALDATASET/data/search_images/search_002.png,FINALDATASET/data/metadata/metadata_002.json,790.2,720.4,740.2,670.4,840.2,770.4,100,100,finfet_10nm,1611706363,1000,1000,1000,1000,2.0,5.0
003,FINALDATASET/data/references/reference_003.png,FINALDATASET/data/search_images/search_003.png,FINALDATASET/data/metadata/metadata_003.json,56.0,843.3,6.0,793.3,106.0,893.3,100,100,finfet_14nm,1718585404,1000,1000,1000,1000,2.0,5.0
004,FINALDATASET/data/references/reference_004.png,FINALDATASET/data/search_images/search_004.png,FINALDATASET/data/metadata/metadata_004.json,664.0,804.3,614.0,754.3,714.0,854.3,100,100,finfet_22nm,1085503248,1000,1000,1000,1000,2.0,5.0
005,FINALDATASET/data/references/reference_005.png,FINALDATASET/data/search_images/search_005.png,FINALDATASET/data/metadata/metadata_005.json,575.2,876.1,525.2,826.1,625.2,926.1,100,100,finfet_28nm,35181287,1000,1000,1000,1000,2.0,5.0
006,FINALDATASET/data/references/reference_006.png,FINALDATASET/data/search_images/search_006.png,FINALDATASET/data/metadata/metadata_006.json,587.9,131.1,537.9,81.1,637.9,181.1,100,100,finfet_45nm,225520291,1000,1000,1000,1000,2.0,5.0
007,FINALDATASET/data/references/reference_007.png,FINALDATASET/data/search_images/search_007.png,FINALDATASET/data/metadata/metadata_007.json,546.4,389.6,496.4,339.6,596.4,439.6,100,100,finfet_7nm,1124620701,1000,1000,1000,1000,2.0,5.0
008,FINALDATASET/data/references/reference_008.png,FINALDATASET/data/search_images/search_008.png,FINALDATASET/data/metadata/metadata_008.json,146.2,370.6,96.2,320.6,196.2,420.6,100,100,finfet_10nm,1832177278,1000,1000,1000,1000,2.0,5.0
009,FINALDATASET/data/references/reference_009.png,FINALDATASET/data/search_images/search_009.png,FINALDATASET/data/metadata/metadata_009.json,648.0,803.5,598.0,753.5,698.0,853.5,100,100,finfet_14nm,1625451948,1000,1000,1000,1000,2.0,5.0
010,FINALDATASET/data/references/reference_010.png,FINALDATASET/data/search_images/search_010.png,FINALDATASET/data/metadata/metadata_010.json,416.0,774.7,366.0,724.7,466.0,824.7,100,100,finfet_22nm,1830821837,1000,1000,1000,1000,2.0,5.0
011,FINALDATASET/data/references/reference_011.png,FINALDATASET/data/search_images/search_011.png,FINALDATASET/data/metadata/metadata_011.json,205.2,708.2,155.2,658.2,255.2,758.2,100,100,finfet_28nm,1565917938,1000,1000,1000,1000,2.0,5.0
012,FINALDATASET/data/references/reference_012.png,FINALDATASET/data/search_images/search_012.png,FINALDATASET/data/metadata/metadata_012.json,797.3,660.9,747.3,610.9,847.3,710.9,100,100,finfet_45nm,851301593,1000,1000,1000,1000,2.0,5.0
013,FINALDATASET/data/references/reference_013.png,FINALDATASET/data/search_images/search_013.png,FINALDATASET/data/metadata/metadata_013.json,268.0,645.5,218.0,595.5,318.0,695.5,100,100,finfet_7nm,205405107,1000,1000,1000,1000,2.0,5.0
014,FINALDATASET/data/references/reference_014.png,FINALDATASET/data/search_images/search_014.png,FINALDATASET/data/metadata/metadata_014.json,520.4,701.2,470.4,651.2,570.4,751.2,100,100,finfet_10nm,221235101,1000,1000,1000,1000,2.0,5.0
015,FINALDATASET/data/references/reference_015.png,FINALDATASET/data/search_images/search_015.png,FINALDATASET/data/metadata/metadata_015.json,189.8,821.3,139.8,771.3,239.8,871.3,100,100,finfet_14nm,1326398602,1000,1000,1000,1000,2.0,5.0
016,FINALDATASET/data/references/reference_016.png,FINALDATASET/data/search_images/search_016.png,FINALDATASET/data/metadata/metadata_016.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_22nm,1250978792,1000,1000,1000,1000,2.0,5.0
017,FINALDATASET/data/references/reference_017.png,FINALDATASET/data/search_images/search_017.png,FINALDATASET/data/metadata/metadata_017.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_28nm,1250978792,1000,1000,1000,1000,2.0,5.0
018,FINALDATASET/data/references/reference_018.png,FINALDATASET/data/search_images/search_018.png,FINALDATASET/data/metadata/metadata_018.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_45nm,1250978792,1000,1000,1000,1000,2.0,5.0
019,FINALDATASET/data/references/reference_019.png,FINALDATASET/data/search_images/search_019.png,FINALDATASET/data/metadata/metadata_019.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_7nm,1250978792,1000,1000,1000,1000,2.0,5.0
020,FINALDATASET/data/references/reference_020.png,FINALDATASET/data/search_images/search_020.png,FINALDATASET/data/metadata/metadata_020.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_10nm,1250978792,1000,1000,1000,1000,2.0,5.0
021,FINALDATASET/data/references/reference_021.png,FINALDATASET/data/search_images/search_021.png,FINALDATASET/data/metadata/metadata_021.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_14nm,1250978792,1000,1000,1000,1000,2.0,5.0
022,FINALDATASET/data/references/reference_022.png,FINALDATASET/data/search_images/search_022.png,FINALDATASET/data/metadata/metadata_022.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_22nm,1250978792,1000,1000,1000,1000,2.0,5.0
