pair_id,reference_path,search_path,metadata_path,gt_x,gt_y,gt_x1,gt_y1,gt_x2,gt_y2,box_width,box_height,architecture,seed,ref_width,ref_height,search_width,search_height,detector_noise_ref,detector_noise_search
1,FINALDATASET/data/references/reference_001.png,FINALDATASET/data/search_images/search_001.png,FINALDATASET/data/metadata/metadata_001.json,142.9,684.8,92.9,634.8,192.9,734.8,100,100,finfet_7nm,425773412,1000,1000,1000,1000,2.0,5.0
2,FINALDATASET/data/references/reference_002.png,FINALDATASET/data/search_images/search_002.png,FINALDATASET/data/metadata/metadata_002.json,790.2,720.4,740.2,670.4,840.2,770.4,100,100,finfet_10nm,1611706363,1000,1000,1000,1000,2.0,5.0
3,FINALDATASET/data/references/reference_003.png,FINALDATASET/data/search_images/search_003.png,FINALDATASET/data/metadata/metadata_003.json,56.0,843.3,6.0,793.3,106.0,893.3,100,100,finfet_14nm,1718585404,1000,1000,1000,1000,2.0,5.0
4,FINALDATASET/data/references/reference_004.png,FINALDATASET/data/search_images/search_004.png,FINALDATASET/data/metadata/metadata_004.json,664.0,804.3,614.0,754.3,714.0,854.3,100,100,finfet_22nm,1085503248,1000,1000,1000,1000,2.0,5.0
5,FINALDATASET/data/references/reference_005.png,FINALDATASET/data/search_images/search_005.png,FINALDATASET/data/metadata/metadata_005.json,575.2,876.1,525.2,826.1,625.2,926.1,100,100,finfet_28nm,35181287,1000,1000,1000,1000,2.0,5.0
6,FINALDATASET/data/references/reference_006.png,FINALDATASET/data/search_images/search_006.png,FINALDATASET/data/metadata/metadata_006.json,587.9,131.1,537.9,81.1,637.9,181.1,100,100,finfet_45nm,225520291,1000,1000,1000,1000,2.0,5.0
8,FINALDATASET/data/references/reference_008.png,FINALDATASET/data/search_images/search_008.png,FINALDATASET/data/metadata/metadata_008.json,146.2,370.6,96.2,320.6,196.2,420.6,100,100,finfet_10nm,1832177278,1000,1000,1000,1000,2.0,5.0
9,FINALDATASET/data/references/reference_009.png,FINALDATASET/data/search_images/search_009.png,FINALDATASET/data/metadata/metadata_009.json,648.0,803.5,598.0,753.5,698.0,853.5,100,100,finfet_14nm,1625451948,1000,1000,1000,1000,2.0,5.0
10,FINALDATASET/data/references/reference_010.png,FINALDATASET/data/search_images/search_010.png,FINALDATASET/data/metadata/metadata_010.json,416.0,774.7,366.0,724.7,466.0,824.7,100,100,finfet_22nm,1830821837,1000,1000,1000,1000,2.0,5.0
12,FINALDATASET/data/references/reference_012.png,FINALDATASET/data/search_images/search_012.png,FINALDATASET/data/metadata/metadata_012.json,797.3,660.9,747.3,610.9,847.3,710.9,100,100,finfet_45nm,851301593,1000,1000,1000,1000,2.0,5.0
13,FINALDATASET/data/references/reference_013.png,FINALDATASET/data/search_images/search_013.png,FINALDATASET/data/metadata/metadata_013.json,268.0,645.5,218.0,595.5,318.0,695.5,100,100,finfet_7nm,205405107,1000,1000,1000,1000,2.0,5.0
15,FINALDATASET/data/references/reference_015.png,FINALDATASET/data/search_images/search_015.png,FINALDATASET/data/metadata/metadata_015.json,189.8,821.3,139.8,771.3,239.8,871.3,100,100,finfet_14nm,1326398602,1000,1000,1000,1000,2.0,5.0
16,FINALDATASET/data/references/reference_016.png,FINALDATASET/data/search_images/search_016.png,FINALDATASET/data/metadata/metadata_016.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_22nm,1250978792,1000,1000,1000,1000,2.0,5.0
17,FINALDATASET/data/references/reference_017.png,FINALDATASET/data/search_images/search_017.png,FINALDATASET/data/metadata/metadata_017.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_28nm,1250978792,1000,1000,1000,1000,2.0,5.0
18,FINALDATASET/data/references/reference_018.png,FINALDATASET/data/search_images/search_018.png,FINALDATASET/data/metadata/metadata_018.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_45nm,1250978792,1000,1000,1000,1000,2.0,5.0
19,FINALDATASET/data/references/reference_019.png,FINALDATASET/data/search_images/search_019.png,FINALDATASET/data/metadata/metadata_019.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_7nm,1250978792,1000,1000,1000,1000,2.0,5.0
20,FINALDATASET/data/references/reference_020.png,FINALDATASET/data/search_images/search_020.png,FINALDATASET/data/metadata/metadata_020.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_10nm,1250978792,1000,1000,1000,1000,2.0,5.0
21,FINALDATASET/data/references/reference_021.png,FINALDATASET/data/search_images/search_021.png,FINALDATASET/data/metadata/metadata_021.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_14nm,1250978792,1000,1000,1000,1000,2.0,5.0
22,FINALDATASET/data/references/reference_022.png,FINALDATASET/data/search_images/search_022.png,FINALDATASET/data/metadata/metadata_022.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_22nm,1250978792,1000,1000,1000,1000,2.0,5.0
23,FINALDATASET/data/references/reference_023.png,FINALDATASET/data/search_images/search_023.png,FINALDATASET/data/metadata/metadata_023.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_28nm,1250978792,1000,1000,1000,1000,2.0,5.0
24,FINALDATASET/data/references/reference_024.png,FINALDATASET/data/search_images/search_024.png,FINALDATASET/data/metadata/metadata_024.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_45nm,1250978792,1000,1000,1000,1000,2.0,5.0
25,FINALDATASET/data/references/reference_025.png,FINALDATASET/data/search_images/search_025.png,FINALDATASET/data/metadata/metadata_025.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_7nm,1250978792,1000,1000,1000,1000,2.0,5.0
26,FINALDATASET/data/references/reference_026.png,FINALDATASET/data/search_images/search_026.png,FINALDATASET/data/metadata/metadata_026.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_10nm,1250978792,1000,1000,1000,1000,2.0,5.0
28,FINALDATASET/data/references/reference_028.png,FINALDATASET/data/search_images/search_028.png,FINALDATASET/data/metadata/metadata_028.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_22nm,1250978792,1000,1000,1000,1000,2.0,5.0
29,FINALDATASET/data/references/reference_029.png,FINALDATASET/data/search_images/search_029.png,FINALDATASET/data/metadata/metadata_029.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_28nm,1250978792,1000,1000,1000,1000,2.0,5.0
30,FINALDATASET/data/references/reference_030.png,FINALDATASET/data/search_images/search_030.png,FINALDATASET/data/metadata/metadata_030.json,559.7,831.4,509.7,781.4,609.7,881.4,100,100,finfet_28nm,1250978792,1000,1000,1000,1000,2.0,5.0
32,FINALDATASET/data/references/reference_032.png,FINALDATASET/data/search_images/search_032.png,FINALDATASET/data/metadata/metadata_032.json,373.4,849.5,323.4,799.5,423.4,899.5,100,100,finfet_10nm,210594983,1000,1000,1000,1000,2.0,5.0
35,FINALDATASET/data/references/reference_035.png,FINALDATASET/data/search_images/search_035.png,FINALDATASET/data/metadata/metadata_035.json,249.3,314.6,199.3,264.6,299.3,364.6,100,100,finfet_28nm,1441803984,1000,1000,1000,1000,2.0,5.0
36,FINALDATASET/data/references/reference_036.png,FINALDATASET/data/search_images/search_036.png,FINALDATASET/data/metadata/metadata_036.json,625.8,471.7,575.8,421.7,675.8,521.7,100,100,finfet_45nm,1606101049,1000,1000,1000,1000,2.0,5.0
37,FINALDATASET/data/references/reference_037.png,FINALDATASET/data/search_images/search_037.png,FINALDATASET/data/metadata/metadata_037.json,598.0,637.1,548.0,587.1,648.0,687.1,100,100,finfet_7nm,166573316,1000,1000,1000,1000,2.0,5.0
38,FINALDATASET/data/references/reference_038.png,FINALDATASET/data/search_images/search_038.png,FINALDATASET/data/metadata/metadata_038.json,588.4,528.4,538.4,478.4,638.4,578.4,100,100,finfet_10nm,1712096812,1000,1000,1000,1000,2.0,5.0
39,FINALDATASET/data/references/reference_039.png,FINALDATASET/data/search_images/search_039.png,FINALDATASET/data/metadata/metadata_039.json,185.1,659.7,135.1,609.7,235.1,709.7,100,100,finfet_14nm,1526946992,1000,1000,1000,1000,2.0,5.0
41,FINALDATASET/data/references/reference_041.png,FINALDATASET/data/search_images/search_041.png,FINALDATASET/data/metadata/metadata_041.json,588.8,434.3,538.8,384.3,638.8,484.3,100,100,finfet_28nm,1312507132,1000,1000,1000,1000,2.0,5.0
42,FINALDATASET/data/references/reference_042.png,FINALDATASET/data/search_images/search_042.png,FINALDATASET/data/metadata/metadata_042.json,424.4,259.6,374.4,209.6,474.4,309.6,100,100,finfet_45nm,570699194,1000,1000,1000,1000,2.0,5.0
43,FINALDATASET/data/references/reference_043.png,FINALDATASET/data/search_images/search_043.png,FINALDATASET/data/metadata/metadata_043.json,810.5,619.0,760.5,569.0,860.5,669.0,100,100,finfet_7nm,373008897,1000,1000,1000,1000,2.0,5.0
44,FINALDATASET/data/references/reference_044.png,FINALDATASET/data/search_images/search_044.png,FINALDATASET/data/metadata/metadata_044.json,423.3,852.9,373.3,802.9,473.3,902.9,100,100,finfet_10nm,689813089,1000,1000,1000,1000,2.0,5.0
45,FINALDATASET/data/references/reference_045.png,FINALDATASET/data/search_images/search_045.png,FINALDATASET/data/metadata/metadata_045.json,776.3,950.0,726.3,900.0,826.3,1000.0,100,100,finfet_14nm,246994715,1000,1000,1000,1000,2.0,5.0
46,FINALDATASET/data/references/reference_046.png,FINALDATASET/data/search_images/search_046.png,FINALDATASET/data/metadata/metadata_046.json,143.6,950.0,93.6,900.0,193.6,1000.0,100,100,finfet_22nm,1670449853,1000,1000,1000,1000,2.0,5.0
48,FINALDATASET/data/references/reference_048.png,FINALDATASET/data/search_images/search_048.png,FINALDATASET/data/metadata/metadata_048.json,481.3,718.6,431.3,668.6,531.3,768.6,100,100,finfet_45nm,1812994519,1000,1000,1000,1000,2.0,5.0
49,FINALDATASET/data/references/reference_049.png,FINALDATASET/data/search_images/search_049.png,FINALDATASET/data/metadata/metadata_049.json,934.3,859.8,884.3,809.8,984.3,909.8,100,100,finfet_7nm,1450425144,1000,1000,1000,1000,2.0,5.0
51,FINALDATASET/data/references/reference_051.png,FINALDATASET/data/search_images/search_051.png,FINALDATASET/data/metadata/metadata_051.json,702.4,395.9,652.4,345.9,752.4,445.9,100,100,finfet_14nm,923507195,1000,1000,1000,1000,2.0,5.0
56,FINALDATASET/data/references/reference_056.png,FINALDATASET/data/search_images/search_056.png,FINALDATASET/data/metadata/metadata_056.json,492.9,690.4,442.9,640.4,542.9,740.4,100,100,finfet_10nm,24866355,1000,1000,1000,1000,2.0,5.0
58,FINALDATASET/data/references/reference_058.png,FINALDATASET/data/search_images/search_058.png,FINALDATASET/data/metadata/metadata_058.json,938.4,319.1,888.4,269.1,988.4,369.1,100,100,finfet_22nm,1602884656,1000,1000,1000,1000,2.0,5.0
